custom/mean_reward,custom/reward,custom/distance_covered,custom/center_lane_deviation,custom/total_reward,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate
0.4532613467744859,-10,27,0.7550922911074992,244.76112725822236,,,,,,,,,,,,,,,,,
0.11474669103812743,-10,19,1.0942695603851167,113.59922412774615,,,,,,,,,,,,,,,,,
,,,,,46,22,179.1801755,1024,1,495.0,,,,,,,,,,,
0.03395012387049085,-10,16,1.6518871007438027,42.36975459037259,,,,,,,0.0019112926,0.00283203125,4.462636947631836,-2.8451040253043174,1.0078182220458984,-0.004587411880493164,21.559405955672265,-0.007002694890252315,0.2,10,9.9797351809024e-05
0.11801603412632532,-10,30,0.910640955603037,211.36671712024864,,,,,,,,,,,,,,,,,
,,,,,49,41,153.02420575,2048,2,447.75,,,,,,,,,,,
0.03432388056618964,-10,15,0.7898682887849277,71.77123426390253,,,,,,,0.008370427,0.0697265625,2.712576389312744,-2.856884150207043,1.0119025707244873,0.539941281080246,9.615257789194583,-0.017615981085691602,0.2,20,9.9594911236096e-05
0.09747620631734573,-10,29,0.6093787611229312,255.87504158303256,,,,,,,,,,,,,,,,,
,,,,,51,59,156.62384983333334,3072,3,437.5,,,,,,,,,,,
0.07771645807366667,-10,27,0.7291658244459542,239.52212378304068,,,,,,,0.0061890557,0.052734375,1.5442456007003784,-2.865924081206322,1.0172550678253174,0.7848155349493027,10.102831102907658,-0.014815675822319463,0.2,30,9.939267828121601e-05
0.049846669060518586,-10,20,0.6969526626831083,174.96180840242025,,,,,,,,,,,,,,,,,
0.05726904293235487,-10,24,0.5978509749379153,230.3360906739313,,,,,,,,,,,,,,,,,
,,,,,49,82,176.06256911111112,4096,4,446.8888888888889,,,,,,,,,,,
-0.002365783078528539,-10,5,1.2673989480668073,-9.993067723704549,,,,,,,0.006997874,0.03798828125,3.2473456859588623,-2.8715935364365577,1.0163098573684692,0.8028318136930466,15.040235686302186,-0.015518481348408386,0.2,40,9.9190652944384e-05
